julian,year,ad.cum,juv.cum,all.cum
162,2004,5.882352941,0,2.222222222
163,2004,11.76470588,0,4.444444444
164,2004,23.52941176,3.571428571,11.11111111
166,2004,29.41176471,3.571428571,13.33333333
172,2004,35.29411765,3.571428571,15.55555556
175,2004,41.17647059,3.571428571,17.77777778
177,2004,47.05882353,3.571428571,20
180,2004,52.94117647,3.571428571,22.22222222
181,2004,52.94117647,7.142857143,24.44444444
184,2004,52.94117647,14.28571429,28.88888889
186,2004,52.94117647,17.85714286,31.11111111
188,2004,58.82352941,17.85714286,33.33333333
190,2004,64.70588235,17.85714286,35.55555556
193,2004,76.47058824,17.85714286,40
195,2004,82.35294118,17.85714286,42.22222222
199,2004,82.35294118,25,46.66666667
200,2004,88.23529412,35.71428571,55.55555556
201,2004,88.23529412,42.85714286,60
203,2004,88.23529412,50,64.44444444
208,2004,94.11764706,53.57142857,68.88888889
210,2004,94.11764706,64.28571429,75.55555556
213,2004,94.11764706,67.85714286,77.77777778
221,2004,94.11764706,75,82.22222222
222,2004,94.11764706,82.14285714,86.66666667
224,2004,94.11764706,85.71428571,88.88888889
225,2004,94.11764706,89.28571429,91.11111111
226,2004,100,100,100
